lab_name,office,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Ames Laboratory,Science,17417,18157,15432
Ames Laboratory,Critical Minerals and Energy Innovation,29862,30155,30000
Ames Laboratory,Hydrocarbons and Geothermal Energy,447,379,283
Ames Laboratory,Nuclear Energy,0,184,0
Ames Site Office,Science,887,841,738
Argonne National Laboratory,Weapons Activities,9075,12500,22000
Argonne National Laboratory,Defense Nuclear Nonproliferation,60888,45654,47541
Argonne National Laboratory,Science,652638,693227,594765
Argonne National Laboratory,Critical Minerals and Energy Innovation,157587,96554,34602
Argonne National Laboratory,Electricity,12229,8136,7845
Argonne National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",3562,4705,3793
Argonne National Laboratory,Hydrocarbons and Geothermal Energy,5214,4775,3738
Argonne National Laboratory,Nuclear Energy,36839,41746,37203
Argonne National Laboratory,Other Defense Activities,1900,2879,2879
Argonne National Laboratory,Office of Technology Commercialization,89,0,0
Argonne Site Office,Science,4603,4358,3810
Berkeley Site Office,Science,3688,3657,3256
Bettis Atomic Power Laboratory,Naval Reactors,603044,623170,611636
Brookhaven National Laboratory,Weapons Activities,425,615,500
Brookhaven National Laboratory,Defense Nuclear Nonproliferation,15901,13885,15135
Brookhaven National Laboratory,Federal Salaries and Expenses,0,7,7
Brookhaven National Laboratory,Science,650678,720079,626046
Brookhaven National Laboratory,Critical Minerals and Energy Innovation,5260,3330,0
Brookhaven National Laboratory,Electricity,1900,950,1000
Brookhaven National Laboratory,Hydrocarbons and Geothermal Energy,171,53,53
Brookhaven National Laboratory,Nuclear Energy,1526,1726,1383
Brookhaven National Laboratory,Other Defense Activities,25,30,30
Brookhaven National Laboratory,Office of Technology Commercialization,49,0,0
Brookhaven Site Office,Science,5043,4972,4421
Carlsbad Area Office,Defense Nuclear Nonproliferation,250,80,196
Carlsbad Area Office,Federal Salaries and Expenses,0,1,1
Carlsbad Area Office,Defense Environmental Cleanup,28188,24334,24897
Chicago Operations Office,Weapons Activities,2000,0,0
Chicago Operations Office,Federal Salaries and Expenses,0,7,7
Chicago Operations Office,Science,0,0,944
Chicago Operations Office,Nuclear Energy,1,0,0
Consolidated Business Center,Defense Environmental Cleanup,41212,37391,38443
Consolidated Service Center - Illinois,Departmental Administration,21613,21700,22500
Consolidated Service Center - Tennessee,Science,56599,56567,53275
East Tennessee Technology Park (K25),Defense Environmental Cleanup,14000,14000,17000
East Tennessee Technology Park (K25),Uranium Enrichment D&D,100792,85115,75115
Energy Technology Engineering Center,Non-Defense Environmental Cleanup,10000,10000,10000
Fermi National Accelerator Laboratory,Defense Nuclear Nonproliferation,1050,847,963
Fermi National Accelerator Laboratory,Science,762533,723454,800831
Fermi National Accelerator Laboratory,Critical Minerals and Energy Innovation,270,178,255
Fermi National Accelerator Laboratory,Hydrocarbons and Geothermal Energy,1501,891,719
Fermi Site Office,Science,4980,4921,4372
Fernald Environmental Management Project,Defense Environmental Cleanup,500,100,100
Fernald Site,Other Defense Activities,11488,9300,9073
Golden Field Office,Critical Minerals and Energy Innovation,606266,517360,107569
Golden Field Office,Hydrocarbons and Geothermal Energy,273629,84123,84123
Golden Field Office,Office of Technology Commercialization,90,0,0
Grand Junction Office,Other Defense Activities,59694,75635,80591
Hanford Site,Defense Environmental Cleanup,1119234,1160956,994124
Hanford Site,Non-Defense Environmental Cleanup,3200,3200,3200
Idaho National Laboratory,Weapons Activities,4023,3439,3134
Idaho National Laboratory,Defense Nuclear Nonproliferation,106082,60974,72378
Idaho National Laboratory,Naval Reactors,92800,96740,98770
Idaho National Laboratory,Science,3600,3600,2128
Idaho National Laboratory,Critical Minerals and Energy Innovation,170507,128223,1698
Idaho National Laboratory,Electricity,7955,6350,4800
Idaho National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",24084,20520,17875
Idaho National Laboratory,Hydrocarbons and Geothermal Energy,3406,2368,1730
Idaho National Laboratory,Nuclear Energy,865641,858714,911866
Idaho National Laboratory,Other Defense Activities,570,435,435
Idaho National Laboratory,Defense Environmental Cleanup,481011,492779,480021
Idaho National Laboratory,Non-Defense Environmental Cleanup,11500,12500,12500
Idaho Operations Office,Science,369,369,369
Idaho Operations Office,Nuclear Energy,162968,294834,212331
Idaho Operations Office,Nuclear Waste,396,500,500
Idaho Operations Office,Departmental Administration,0,2000,2000
Idaho Operations Office,Office of Technology Commercialization,87,0,0
Idaho Operations Office,Defense Environmental Cleanup,8316,9472,9586
Kansas City National Security Complex (KCNSC),Weapons Activities,1339653,1535331,2094205
Kansas City National Security Complex (KCNSC),Defense Nuclear Nonproliferation,47181,54178,81391
Kansas City National Security Complex (KCNSC),Other Defense Activities,224,126,126
Kansas City Field Office,Federal Salaries and Expenses,10336,10807,10990
Knolls Atomic Power Laboratory,Naval Reactors,732607,652043,630690
Lawrence Berkeley National Laboratory,Weapons Activities,3306,5000,5513
Lawrence Berkeley National Laboratory,Defense Nuclear Nonproliferation,18835,22011,23042
Lawrence Berkeley National Laboratory,Science,866491,890271,765944
Lawrence Berkeley National Laboratory,Critical Minerals and Energy Innovation,87704,95344,13541
Lawrence Berkeley National Laboratory,Electricity,11085,6300,4850
Lawrence Berkeley National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",400,1500,724
Lawrence Berkeley National Laboratory,Hydrocarbons and Geothermal Energy,35975,12954,12211
Lawrence Berkeley National Laboratory,Nuclear Energy,3150,550,5150
Lawrence Berkeley National Laboratory,Other Defense Activities,295,29,29
Lawrence Livermore National Laboratory,Weapons Activities,2404909,2295485,2837204
Lawrence Livermore National Laboratory,Defense Nuclear Nonproliferation,259034,250798,282966
Lawrence Livermore National Laboratory,Federal Salaries and Expenses,1043,1043,1043
Lawrence Livermore National Laboratory,Science,56022,51364,38185
Lawrence Livermore National Laboratory,Critical Minerals and Energy Innovation,20345,5262,0
Lawrence Livermore National Laboratory,Electricity,16415,9416,8700
Lawrence Livermore National Laboratory,"Cybersecurity, Energy Security, and Emergency Response",42754,22790,26098
