lpi_name,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Ames Laboratory,47726,48875,45715
Ames Site Office,887,841,738
Argonne National Laboratory,940021,910176,754366
Argonne Site Office,4603,4358,3810
Battelle Savannah River Alliance,0,0,0
Berkeley Site Office,3688,3657,3256
Bettis Atomic Power Laboratory,603044,623170,611636
Brookhaven National Laboratory,675935,740675,644154
Brookhaven Site Office,5043,4972,4421
Carlsbad Area Office,28438,24415,25094
Chicago Operations Office,2001,7,951
Consolidated Business Center,41212,37391,38443
Consolidated Service Center - Illinois,21613,21700,22500
Consolidated Service Center - Tennessee,56599,56567,53275
East Tennessee Technology Park (K25),114792,99115,92115
Energy Technology Engineering Center,10000,10000,10000
Fermi National Accelerator Laboratory,765354,725370,802768
Fermi Site Office,4980,4921,4372
Fernald Environmental Management Project,500,100,100
Fernald Site,11488,9300,9073
Golden Field Office,879985,601483,191692
Grand Junction Office,59694,75635,80591
Hanford Site,1122434,1164156,997324
Idaho National Laboratory,1771179,1686642,1607335
Idaho Operations Office,172136,307175,224786
Kansas City National Security Complex (KCNSC),1387058,1589635,2175722
Kansas City Field Office,10336,10807,10990
Knolls Atomic Power Laboratory,732607,652043,630690
Lawrence Berkeley National Laboratory,1027241,1033959,831004
Lawrence Livermore National Laboratory,2814889,2646476,3203623
Lexington Office,530,530,530
Livermore Field Office,18404,16922,17737
Los Alamos National Laboratory,4986048,5125258,6753676
Los Alamos Field Office,21221,18556,20392
Michigan State University,0,15000,0
Moab Site,74420,64265,64265
Mound Site,10274,8729,7042
National Energy Technology Lab,776192,613840,631503
National Laboratory of the Rockies,543551,510085,245677
Naval Petroleum Reserve No 1,11010,11010,11000
Naval Reactors Facility,444480,678748,958581
Naval Reactors Laboratory Field Office,17460,17460,20383
Naval Research Laboratory,2745,2900,3650
Nevada Field Office,25708,23060,24037
Nevada National Security Site,906709,849122,1383591
Nevada Operations Office,5177,3000,5176
NNSA Albuquerque Complex,887659,1292358,1093875
Oak Ridge Institute for Science and Education,44083,38129,24607
Oak Ridge National Laboratory,2119183,2214555,1860364
Oak Ridge National Laboratory Site Office,8558,8469,8124
Oak Ridge Office,33788,32534,29780
Oak Ridge Reservation,72000,75000,85800
Oak Ridge Reservation (Off-Site),5500,5900,5100
Office of River Protection,1960168,2195011,1967198
Office of Scientific and Technical Information,13430,13030,11719
Ohio Field Office,5,8,8
Pacific Northwest National Laboratory,822371,775526,618628
Pacific Northwest Site Office,6742,6514,5741
Paducah Gaseous Diffusion Plant,359859,348121,392037
Pantex Plant,1131096,1182292,1358723
Pantex Field Office,17139,16658,17613
Pinellas Site,3452,3207,3092
Portsmouth Gaseous Diffusion Plant,654194,678439,675609
Princeton Plasma Physics Laboratory,104326,106320,105170
Princeton Site Office,2463,2385,2108
Richland Operations Office,58889,55091,55292
Rocky Flats Site,31295,25019,24205
Sandia National Laboratories,3563689,3205272,3976117
Sandia Field Office,22095,21702,23104
Savannah River National Laboratory,210975,219484,202752
Savannah River Operations Office,280102,133208,137452
Savannah River Site,2950568,3429700,4731523
Separations Process Research Unit,1300,950,950
SLAC National Accelerator Laboratory,608499,620598,481139
SLAC Site Office,2573,2566,2288
Special Technologies Laboratory,2720,3316,3316
Strategic Petroleum Reserve - Bayou Choctow,14606,16295,20226
Strategic Petroleum Reserve - Big Hill,20779,23182,25768
Strategic Petroleum Reserve - Bryan Mound,21279,23739,32779
Strategic Petroleum Reserve - West Hackberry,26344,29390,34890
Strategic Petroleum Reserve Project Office,18158,18996,22447
Thomas Jefferson National Accelerator Facility,197644,230357,215491
Thomas Jefferson Site Office,2541,2407,2105
Undesignated Lab/Plant/Installation,212869,65493,42750
University of Rochester,94839,111000,88028
Washington Headquarters,5286078,5845075,8028643
Waste Isolation Pilot Plant,497262,426571,480567
Weldon Spring Site Office,4473,2217,2242
West Valley Demonstration Project,97688,97469,97868
Western Area Power Administration Office,1692555,1644970,1468589
Y-12 National Security Complex,2785092,2423495,2546730
Y-12 Field Office,100457,155563,94979
Other,2354849,2262635,1530068
Undesignated LPI,2454118,2678991,6035674
