lab_name,science_subprogram,fy25_enacted_k,fy26_enacted_k,fy27_request_k
Ames Laboratory,Basic Energy Sciences,15240,15240,12515
Ames Laboratory,High Energy Physics,700,1440,1440
Ames Laboratory,Safeguards and Security - SC,1477,1477,1477
Ames Site Office,Program Direction - SC,887,841,738
Argonne National Laboratory,Advanced Scientific Computing Research,225984,248789,241880
Argonne National Laboratory,Basic Energy Sciences,296708,323314,279206
Argonne National Laboratory,Biological and Environmental Research,50305,48371,7884
Argonne National Laboratory,Fusion Energy Sciences,750,750,206
Argonne National Laboratory,High Energy Physics,15981,23840,21478
Argonne National Laboratory,Nuclear Physics,35602,35813,32511
Argonne National Laboratory,Accelerator R&D and Production,371,0,0
Argonne National Laboratory,Science Laboratories Infrastructure,16837,2250,1500
Argonne National Laboratory,Safeguards and Security - SC,10100,10100,10100
Argonne Site Office,Program Direction - SC,4603,4358,3810
Berkeley Site Office,Program Direction - SC,3688,3657,3256
Brookhaven National Laboratory,Advanced Scientific Computing Research,2583,2583,3502
Brookhaven National Laboratory,Basic Energy Sciences,226838,263809,243051
Brookhaven National Laboratory,Biological and Environmental Research,21927,18989,7620
Brookhaven National Laboratory,Fusion Energy Sciences,2409,2409,2409
Brookhaven National Laboratory,High Energy Physics,73596,76482,58728
Brookhaven National Laboratory,Nuclear Physics,288884,329215,296062
Brookhaven National Laboratory,Accelerator R&D and Production,8567,0,0
Brookhaven National Laboratory,Science Laboratories Infrastructure,11200,11918,0
Brookhaven National Laboratory,Safeguards and Security - SC,14674,14674,14674
Brookhaven Site Office,Program Direction - SC,5043,4972,4421
Chicago Operations Office,Fusion Energy Sciences,0,0,944
Consolidated Service Center - Tennessee,Science Laboratories Infrastructure,12151,12151,12500
Consolidated Service Center - Tennessee,Safeguards and Security - SC,6012,6287,6287
Consolidated Service Center - Tennessee,Program Direction - SC,38436,38129,34488
Fermi National Accelerator Laboratory,High Energy Physics,721099,699121,735683
Fermi National Accelerator Laboratory,Accelerator R&D and Production,101,0,0
Fermi National Accelerator Laboratory,Science Laboratories Infrastructure,35000,18000,58815
Fermi National Accelerator Laboratory,Safeguards and Security - SC,6333,6333,6333
Fermi Site Office,Program Direction - SC,4980,4921,4372
Idaho National Laboratory,Basic Energy Sciences,2100,2100,1680
Idaho National Laboratory,Fusion Energy Sciences,1500,1500,448
Idaho Operations Office,Basic Energy Sciences,369,369,369
Lawrence Berkeley National Laboratory,Advanced Scientific Computing Research,266298,285847,273707
Lawrence Berkeley National Laboratory,Basic Energy Sciences,273615,295130,259070
Lawrence Berkeley National Laboratory,Biological and Environmental Research,189864,182931,125517
Lawrence Berkeley National Laboratory,Fusion Energy Sciences,1386,1386,1650
Lawrence Berkeley National Laboratory,High Energy Physics,55297,69764,57303
Lawrence Berkeley National Laboratory,Nuclear Physics,22945,20240,15724
Lawrence Berkeley National Laboratory,Accelerator R&D and Production,1113,0,0
Lawrence Berkeley National Laboratory,Science Laboratories Infrastructure,48000,27000,25000
Lawrence Berkeley National Laboratory,Safeguards and Security - SC,7973,7973,7973
Lawrence Livermore National Laboratory,Advanced Scientific Computing Research,3174,3174,9668
Lawrence Livermore National Laboratory,Basic Energy Sciences,712,712,498
Lawrence Livermore National Laboratory,Biological and Environmental Research,33027,29421,6041
Lawrence Livermore National Laboratory,Fusion Energy Sciences,13900,13400,18067
Lawrence Livermore National Laboratory,High Energy Physics,1402,2225,1455
Lawrence Livermore National Laboratory,Nuclear Physics,2712,2432,2456
Lawrence Livermore National Laboratory,Accelerator R&D and Production,1095,0,0
Los Alamos National Laboratory,Advanced Scientific Computing Research,3390,3390,9326
Los Alamos National Laboratory,Basic Energy Sciences,25562,27329,21149
Los Alamos National Laboratory,Biological and Environmental Research,40396,39332,3604
Los Alamos National Laboratory,Fusion Energy Sciences,2900,2400,1880
Los Alamos National Laboratory,High Energy Physics,1502,2010,1920
Los Alamos National Laboratory,Nuclear Physics,9888,10253,5125
Los Alamos National Laboratory,Accelerator R&D and Production,290,0,0
Michigan State University,Nuclear Physics,0,15000,0
National Laboratory of the Rockies,Advanced Scientific Computing Research,1963,535,205
National Laboratory of the Rockies,Basic Energy Sciences,9328,9328,3824
National Laboratory of the Rockies,Biological and Environmental Research,1200,606,342
Oak Ridge Institute for Science and Education,Biological and Environmental Research,2788,2313,799
Oak Ridge Institute for Science and Education,Fusion Energy Sciences,850,850,0
Oak Ridge Institute for Science and Education,Safeguards and Security - SC,900,1678,1678
Oak Ridge National Laboratory,Advanced Scientific Computing Research,266937,281937,290601
Oak Ridge National Laboratory,Basic Energy Sciences,504266,586162,524423
Oak Ridge National Laboratory,Biological and Environmental Research,88646,85005,20068
Oak Ridge National Laboratory,Fusion Energy Sciences,234770,205357,99314
Oak Ridge National Laboratory,High Energy Physics,2207,2449,2508
Oak Ridge National Laboratory,Nuclear Physics,11972,5672,5733
Oak Ridge National Laboratory,Accelerator R&D and Production,234,0,0
Oak Ridge National Laboratory,Science Laboratories Infrastructure,55690,46000,78711
Oak Ridge National Laboratory,Safeguards and Security - SC,31688,31688,31688
Oak Ridge National Laboratory Site Office,Program Direction - SC,8358,8169,7224
Office of Scientific and Technical Information,Fusion Energy Sciences,4,4,5
Office of Scientific and Technical Information,Safeguards and Security - SC,419,420,420
Office of Scientific and Technical Information,Program Direction - SC,12261,11941,10569
Pacific Northwest National Laboratory,Advanced Scientific Computing Research,4545,2973,4027
Pacific Northwest National Laboratory,Basic Energy Sciences,28406,28406,17810
Pacific Northwest National Laboratory,Biological and Environmental Research,158711,170468,100410
Pacific Northwest National Laboratory,Fusion Energy Sciences,1500,1500,2361
Pacific Northwest National Laboratory,High Energy Physics,1633,2604,2265
Pacific Northwest National Laboratory,Nuclear Physics,818,818,0
Pacific Northwest National Laboratory,Science Laboratories Infrastructure,0,8100,0
Pacific Northwest National Laboratory,Safeguards and Security - SC,12380,12380,12380
Pacific Northwest Site Office,Program Direction - SC,6742,6514,5741
Princeton Plasma Physics Laboratory,Fusion Energy Sciences,59597,57430,80767
Princeton Plasma Physics Laboratory,Science Laboratories Infrastructure,40000,44000,19571
Princeton Plasma Physics Laboratory,Safeguards and Security - SC,4524,4524,4524
Princeton Site Office,Program Direction - SC,2463,2385,2108
