line,fy25_enacted_k,fy26_enacted_k,fy27_request_k,delta_k,pct_change,group,subgroup,level,footnote,notes
Federal Salaries and Expenses,500000,525000,577097,52097,9.92,NNSA,,leaf,,
Weapons Activities,19293000,20378000,27441159,7063159,34.66,NNSA,,leaf,4,"Footnote 4: P.L. 119-21 (WFTC) provided $3,885,000k mandatory FY26 supplement."
Defense Nuclear Nonproliferation,2396000,2367000,2389595,22595,0.95,NNSA,,leaf,,
Naval Reactors,1946000,2134000,2393692,259692,12.17,NNSA,,leaf,,
"Total, National Nuclear Security Administration",24135000,25404000,32801543,7397543,29.12,NNSA,,section_total,,
Science,8240000,8250000,7138815,-1111185,-13.47,Undersecretary for Science,,leaf,,Office of Science; -13% from FY26 enacted.
Artificial Intelligence and Quantum,0,0,1200000,1200000,,Undersecretary for Science,,leaf,5,New office FY27. Footnote 5: repurposes prior year unobligated IIJA funding.
Office of Fusion,0,0,10000,10000,,Undersecretary for Science,,leaf,,New standalone office FY27.
Strategy & Technology Roadmaps,0,0,3000,3000,,Undersecretary for Science,,leaf,,New office FY27.
Office of Technology Commercialization,20000,13000,26555,13555,104.27,Undersecretary for Science,,leaf,,
"Total, Undersecretary for Science",8260000,8263000,8378370,115370,1.4,Undersecretary for Science,,section_total,,
"Cybersecurity, Energy Security and Emergency Response",200000,190000,160173,-29827,-15.7,Undersecretary for Energy,,leaf,,CESER. -16% from FY26.
Nuclear Energy,1685000,1685000,1533735,-151265,-8.98,Undersecretary for Energy,,leaf,,Office of Nuclear Energy. -9% from FY26.
Nuclear Waste Disposal Fund,12040,12040,12040,0,0.0,Undersecretary for Energy,,leaf,,
Hydrocarbons and Geothermal Energy Office,1226909,647000,676042,29042,4.49,Undersecretary for Energy,,leaf,,HGEO. Rebranded from Office of Fossil Energy.
Strategic Petroleum Reserve,213390,206325,295102,88777,43.03,Undersecretary for Energy,Petroleum Reserves,leaf,,
Naval Petroleum and Oil Shale Reserves,13010,13000,13000,0,0.0,Undersecretary for Energy,Petroleum Reserves,leaf,,
SPR Petroleum Account,100,100,100,0,0.0,Undersecretary for Energy,Petroleum Reserves,leaf,,
Northeast Home Heating Oil Reserve,7150,7150,3575,-3575,-50.0,Undersecretary for Energy,Petroleum Reserves,leaf,,
"Total, Petroleum Reserves",233650,226575,311777,85202,37.6,Undersecretary for Energy,Petroleum Reserves,subtotal,,
Electricity,339750,259750,203477,-56273,-21.66,Undersecretary for Energy,,leaf,,Office of Electricity. -22% from FY26.
Baseload Power,0,0,3500000,3500000,,Undersecretary for Energy,,leaf,6,New initiative FY27. Footnote 6: repurposes prior year unobligated IIJA funding.
Indian Energy Policy and Programs,70000,75000,50038,-24962,-33.28,Undersecretary for Energy,,leaf,,-33% from FY26.
Office of Clean Energy Demonstrations,50000,0,0,0,,Undersecretary for Energy,,leaf,,Eliminated in FY26 enacted; stays eliminated FY27.
Title 17 Innovative Technology Loan Guarantee Program,-29140,-56753,179588,236341,-416.44,Undersecretary for Energy,Energy Dominance Financing,leaf,,"Sign change: FY25/FY26 net offset, FY27 positive funding."
Advanced Technology Vehicles Manufacturing Loan Program,13000,9500,9500,0,0.0,Undersecretary for Energy,Energy Dominance Financing,leaf,,
Tribal Energy Loan Guarantee Program,6300,6300,2000,-4300,-68.25,Undersecretary for Energy,Energy Dominance Financing,leaf,,OCR reported -65%; PNG verifies -68%.
"Total, Energy Dominance Financing",-9840,-40953,191088,232041,-566.6,Undersecretary for Energy,Energy Dominance Financing,subtotal,,+567% from FY26 enacted (printed).
Southeastern Power Administration,0,0,0,0,,Undersecretary for Energy,Power Marketing Administrations,leaf,,
Southwestern Power Administration,11440,10400,10400,0,0.0,Undersecretary for Energy,Power Marketing Administrations,leaf,,
Western Area Power Administration,99872,63372,63388,16,0.03,Undersecretary for Energy,Power Marketing Administrations,leaf,,
Falcon and Amistad Operating and Maintenance Fund,228,228,228,0,0.0,Undersecretary for Energy,Power Marketing Administrations,leaf,,
